index,path,title,size_bytes,size_human,git_blob_sha1,object_format,license_status,redistribution_approved,import_recommendation,import_reason,exact_duplicate_of,probable_duplicate_of,ocr_need_estimate,ocr_estimate_confidence,language_estimate,blob_api_url,raw_url
47,Intelligent Autonomous Robotics - A Robot Soccer Case Study - Peter Stone.pdf,Intelligent Autonomous Robotics - A Robot Soccer Case Study - Peter Stone,1955314,1.9 MiB,ccefe9c02d39fffdaadcb2a61f5eccb9b8669354,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,likely_text_native,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/ccefe9c02d39fffdaadcb2a61f5eccb9b8669354,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Intelligent%20Autonomous%20Robotics%20-%20A%20Robot%20Soccer%20Case%20Study%20-%20Peter%20Stone.pdf
48,Introduction to AI Robotics - Murphy R.R.pdf,Introduction to AI Robotics - Murphy R.R,14158126,13.5 MiB,6454d9d360680e4783a964bba5866ade4a5d8fd8,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/6454d9d360680e4783a964bba5866ade4a5d8fd8,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Introduction%20to%20AI%20Robotics%20-%20Murphy%20R.R.pdf
49,Introduction to Autonomous Mobile Robots - Siegwart Nourbakhsh.pdf,Introduction to Autonomous Mobile Robots - Siegwart Nourbakhsh,8292025,7.9 MiB,31241eb9d9ede091206b1455fdf26338a1a6d273,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/31241eb9d9ede091206b1455fdf26338a1a6d273,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/Introduction%20to%20Autonomous%20Mobile%20Robots%20-%20Siegwart%20Nourbakhsh.pdf
50,LEGO MINDSTORMS -  Robotics Invention System-2  Projects.pdf,LEGO MINDSTORMS -  Robotics Invention System-2  Projects,33037341,31.5 MiB,11053d9b97c348a1f874d8eba92d86f3cfcfe68f,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/11053d9b97c348a1f874d8eba92d86f3cfcfe68f,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/LEGO%20MINDSTORMS%20-%20%20Robotics%20Invention%20System-2%20%20Projects.pdf
51,LEGO MINDSTORMS - Building Robots.pdf,LEGO MINDSTORMS - Building Robots,14890421,14.2 MiB,40a1056624b2086d26f121f96dc6f1642d2587b6,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/40a1056624b2086d26f121f96dc6f1642d2587b6,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/LEGO%20MINDSTORMS%20-%20Building%20Robots.pdf
52,LEGO MINDSTORMS - Dark Side Robots Transports and Creatures.pdf,LEGO MINDSTORMS - Dark Side Robots Transports and Creatures,30676623,29.3 MiB,78b284eb46358a7d24112ba72659338b4aa6c7d0,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/78b284eb46358a7d24112ba72659338b4aa6c7d0,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/LEGO%20MINDSTORMS%20-%20Dark%20Side%20Robots%20Transports%20and%20Creatures.pdf
53,LEGO MINDSTORMS - The Unofficial Guide to Robots - Jonathan B. Knudsen.pdf,LEGO MINDSTORMS - The Unofficial Guide to Robots - Jonathan B. Knudsen,4124249,3.9 MiB,070d5d8b64deda6c08a4536b05a5bebd305d054e,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/070d5d8b64deda6c08a4536b05a5bebd305d054e,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/LEGO%20MINDSTORMS%20-%20The%20Unofficial%20Guide%20to%20Robots%20-%20Jonathan%20B.%20Knudsen.pdf
54,LEGO Mindstorms Masterpieces - Building and Programming Advanced Robots.pdf,LEGO Mindstorms Masterpieces - Building and Programming Advanced Robots,19597710,18.7 MiB,2e90d7538d8b34a505fcd0ed54bead32caab86b7,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/2e90d7538d8b34a505fcd0ed54bead32caab86b7,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/LEGO%20Mindstorms%20Masterpieces%20-%20Building%20and%20Programming%20Advanced%20Robots.pdf
55,MEMS Advanced Materials and Fabrication Methods - Nat. Aca.  Press.pdf,MEMS Advanced Materials and Fabrication Methods - Nat. Aca.  Press,7263106,6.9 MiB,7fdb80c2e2f2a198c897153efd827be7cb1b7edc,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/7fdb80c2e2f2a198c897153efd827be7cb1b7edc,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/MEMS%20Advanced%20Materials%20and%20Fabrication%20Methods%20-%20Nat.%20Aca.%20%20Press.pdf
56,MEMS Mechanical Sensors - Stephen Beeby.pdf,MEMS Mechanical Sensors - Stephen Beeby,4263300,4.1 MiB,5fe4a048813200a086ae62dee6094005330bb52c,sha1,unknown,False,skip,unknown copyright/license status; do not redistribute or import,,,unknown,low,en,https://api.github.com/repos/jimmyval92/robotics_ebooks/git/blobs/5fe4a048813200a086ae62dee6094005330bb52c,https://github.com/jimmyval92/robotics_ebooks/raw/5441f772ac826b903eda1daf9a9e5adf0e6c3ac2/MEMS%20Mechanical%20Sensors%20-%20Stephen%20Beeby.pdf
